datetime,month,day,weekday,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,log_casual,log_registered
2011-01-01 00:00:00,1,1,6,0,1,0,0,1,9.84,14.395,81,0.0,3,13,16,1.38629436112,2.63905732962
2011-01-01 01:00:00,1,1,6,1,1,0,0,1,9.02,13.635,80,0.0,8,32,40,2.19722457734,3.49650756147
2011-01-01 02:00:00,1,1,6,2,1,0,0,1,9.02,13.635,80,0.0,5,27,32,1.79175946923,3.33220451018
2011-01-01 03:00:00,1,1,6,3,1,0,0,1,9.84,14.395,75,0.0,3,10,13,1.38629436112,2.3978952728
2011-01-01 04:00:00,1,1,6,4,1,0,0,1,9.84,14.395,75,0.0,0,1,1,0.0,0.69314718056
2011-01-01 05:00:00,1,1,6,5,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,0.0,0.69314718056
2011-01-01 06:00:00,1,1,6,6,1,0,0,1,9.02,13.635,80,0.0,2,0,2,1.09861228867,0.0
2011-01-01 07:00:00,1,1,6,7,1,0,0,1,8.2,12.88,86,0.0,1,2,3,0.69314718056,1.09861228867
2011-01-01 08:00:00,1,1,6,8,1,0,0,1,9.84,14.395,75,0.0,1,7,8,0.69314718056,2.07944154168
2011-01-01 09:00:00,1,1,6,9,1,0,0,1,13.12,17.425,76,0.0,8,6,14,2.19722457734,1.94591014906
2011-01-01 10:00:00,1,1,6,10,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,2.56494935746,3.21887582487
2011-01-01 11:00:00,1,1,6,11,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,3.295836866,3.43398720449
2011-01-01 12:00:00,1,1,6,12,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,3.40119738166,4.02535169074
2011-01-01 13:00:00,1,1,6,13,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,3.87120101091,3.87120101091
2011-01-01 14:00:00,1,1,6,14,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,3.58351893846,4.27666611902
2011-01-01 15:00:00,1,1,6,15,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,3.7135720667,4.26267987704
2011-01-01 16:00:00,1,1,6,16,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,3.73766961828,3.97029191355
2011-01-01 17:00:00,1,1,6,17,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,2.77258872224,3.97029191355
2011-01-01 18:00:00,1,1,6,18,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,2.30258509299,3.295836866
2011-01-01 19:00:00,1,1,6,19,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,1.94591014906,3.4657359028
2011-01-01 20:00:00,1,1,6,20,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,2.48490664979,3.25809653802
2011-01-01 21:00:00,1,1,6,21,1,0,0,2,16.4,20.455,87,12.998,3,31,34,1.38629436112,3.4657359028
2011-01-01 22:00:00,1,1,6,22,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,2.48490664979,2.8903717579
2011-01-01 23:00:00,1,1,6,23,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,2.77258872224,3.21887582487
2011-01-02 00:00:00,1,2,7,0,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,1.60943791243,2.63905732962
2011-01-02 01:00:00,1,2,7,1,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,0.69314718056,2.83321334406
2011-01-02 02:00:00,1,2,7,2,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,0.69314718056,2.19722457734
2011-01-02 03:00:00,1,2,7,3,1,0,0,2,18.86,22.725,94,12.998,2,4,6,1.09861228867,1.60943791243
2011-01-02 04:00:00,1,2,7,4,1,0,0,2,18.86,22.725,94,12.998,2,1,3,1.09861228867,0.69314718056
2011-01-02 06:00:00,1,2,7,6,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,0.0,1.09861228867
2011-01-02 07:00:00,1,2,7,7,1,0,0,2,16.4,20.455,76,12.998,0,1,1,0.0,0.69314718056
2011-01-02 08:00:00,1,2,7,8,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,0.0,2.19722457734
2011-01-02 09:00:00,1,2,7,9,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,0.69314718056,2.99573227355
2011-01-02 10:00:00,1,2,7,10,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,2.07944154168,3.85014760171
2011-01-02 11:00:00,1,2,7,11,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,2.83321334406,4.00733318523
2011-01-02 12:00:00,1,2,7,12,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,3.04452243772,4.3040650932
2011-01-02 13:00:00,1,2,7,13,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,2.48490664979,4.1743872699
2011-01-02 14:00:00,1,2,7,14,1,0,0,3,14.76,17.425,76,12.998,4,55,59,1.60943791243,4.02535169074
2011-01-02 15:00:00,1,2,7,15,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,2.99573227355,4.02535169074
2011-01-02 16:00:00,1,2,7,16,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,2.30258509299,4.21950770518
2011-01-02 17:00:00,1,2,7,17,1,0,0,1,13.94,16.665,57,12.998,7,58,65,2.07944154168,4.07753744391
2011-01-02 18:00:00,1,2,7,18,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,2.3978952728,3.78418963392
2011-01-02 19:00:00,1,2,7,19,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,0.69314718056,3.40119738166
2011-01-02 20:00:00,1,2,7,20,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,1.79175946923,2.8903717579
2011-01-02 21:00:00,1,2,7,21,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,2.48490664979,3.04452243772
2011-01-02 22:00:00,1,2,7,22,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,0.0,2.30258509299
2011-01-02 23:00:00,1,2,7,23,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,0.0,2.19722457734
2011-01-03 00:00:00,1,3,1,0,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,0.0,1.79175946923
